Nationality,Positions,Best Position,Field Position,Name,Age,Height,Weight,Club,Start Year,End Year,↓OVA,POT,Value,Value_int,Wage,Wage_amt,Release Clause
France,GK,GK,GK,J. Moulin,34,185cm,88kg,AS Saint-Étienne,2005,2022,70,70,€275K,275000.0,€12K,12000.0,€1.6M
Brazil,"LW, RW, LM",LW,ATT,Leandro,27,177cm,78kg,FC Tokyo,Jan ,Loan,70,70,€1.7M,1700000.0,€7K,7000.0,€0
Italy,"ST, CAM, CF",RW,ATT,M. Pucciarelli,29,174cm,64kg,Chievo Verona,2019,2021,70,70,€1.6M,1600000.0,€3K,3000.0,€2.8M
Spain,"ST, LM, RM",ST,ATT,Sabin Merino,28,187cm,78kg,CD Leganés,2020,2021,70,70,€1.6M,1600000.0,€9K,9000.0,€2.9M
Spain,"RB, RWB",RB,DEF,Rafa Navarro,26,173cm,64kg,Deportivo Alavés,2018,2021,70,73,€1.9M,1900000.0,€12K,12000.0,€4.1M
Wales,LB,LB,DEF,N. Taylor,31,175cm,75kg,Aston Villa,2017,2021,70,70,€1.2M,1200000.0,€26K,26000.0,€2.5M
Greece,GK,GK,GK,G. Anestis,29,198cm,93kg,IFK Göteborg,2019,2021,70,72,€1.3M,1300000.0,€2K,2000.0,€2M
Spain,LB,LWB,DEF,Manu Sánchez,19,171cm,66kg,Atlético Madrid,2019,2025,70,82,€3.6M,3600000.0,€12K,12000.0,€6.3M
Slovakia,ST,ST,ATT,R. Boženík,20,188cm,81kg,Feyenoord,2020,2024,70,81,€3.5M,3500000.0,€7K,7000.0,€5M
Montenegro,RB,RB,DEF,M. Vešović,28,177cm,70kg,Legia Warszawa,2018,2021,70,70,€1.4M,1400000.0,€7K,7000.0,€2.1M
Italy,"LM, LB",LM,MID,A. Mazzotta,30,184cm,73kg,Crotone,2019,2021,70,70,€1.5M,1500000.0,€8K,8000.0,€3.1M
Spain,GK,GK,GK,René,36,183cm,79kg,Dinamo Bucureşti,2020,2022,70,70,€180K,180000.0,€2K,2000.0,€405K
Czech Republic,RM,RM,MID,T. Přikryl,27,177cm,69kg,Jagiellonia Białystok,2019,2023,70,70,€1.7M,1700000.0,€6K,6000.0,€2.6M
France,"CDM, CM",CDM,MID,P. Gueye,21,187cm,65kg,Olympique de Marseille,2020,2024,70,82,€3.7M,3700000.0,€13K,13000.0,€6.3M
France,"RM, LM",ST,ATT,A. Diakhaby,23,184cm,74kg,Huddersfield Town,2018,2021,70,76,€2.5M,2500000.0,€14K,14000.0,€5M
DR Congo,"LM, CAM, RM",LM,MID,Y. Ngbakoto,28,173cm,69kg,En Avant de Guingamp,2018,2021,70,70,€1.6M,1600000.0,€6K,6000.0,€3.2M
Japan,CB,CB,DEF,Y. Suzuki,27,184cm,73kg,Oita Trinita,2014,2021,70,72,€1.7M,1700000.0,€3K,3000.0,€2.5M
Argentina,"LM, ST, CAM",CAM,MID,J. Brunetta,23,175cm,68kg,Parma,Jun ,Loan,70,79,€3.5M,3500000.0,€6K,6000.0,€0
Bosnia Herzegovina,CB,CB,DEF,D. Dumić,28,193cm,85kg,FC Twente,2020,2022,70,70,€1.4M,1400000.0,€6K,6000.0,€2.3M
Greece,"CAM, RM",CAM,MID,G. Bouzoukis,22,172cm,67kg,Panathinaikos FC,2016,2022,70,77,€3.2M,3200000.0,€500,500.0,€6M
Scotland,"LM, ST, RM",RM,MID,M. Johnston,21,176cm,66kg,Celtic,2016,2025,70,83,€3.9M,3900000.0,€20K,20000.0,€8.2M
Senegal,"RM, RW",RM,MID,M. Fall,28,184cm,72kg,Sporting de Charleroi,2016,2022,70,70,€1.6M,1600000.0,€9K,9000.0,€2.7M
Argentina,"LB, CB",LB,DEF,N. Berardo,29,181cm,74kg,Coquimbo Unido,2017,2025,70,70,€1.4M,1400000.0,€2K,2000.0,€2M
Mexico,"CDM, CM",CDM,MID,A. Ríos,31,172cm,75kg,Deportivo Toluca,2009,2020,70,70,€1.1M,1100000.0,€11K,11000.0,€2.2M
Republic of Ireland,"CDM, CM",CDM,MID,S. Williams,33,183cm,80kg,Millwall,2014,2021,70,70,€800K,800000.0,€8K,8000.0,€1.7M
Argentina,"RM, LM, CM",RM,MID,C. Bernardi,30,177cm,73kg,Club Atlético Colón,2016,2021,70,70,€1.5M,1500000.0,€8K,8000.0,€2.6M
Japan,"CDM, CM, RB",CDM,MID,R. Nagaki,32,173cm,72kg,Kashima Antlers,2016,2021,70,70,€1.1M,1100000.0,€6K,6000.0,€1.5M
Argentina,GK,GK,GK,A. Werner,24,191cm,85kg,Atlético de San Luis,Jun ,Loan,70,77,€2.7M,2700000.0,€15K,15000.0,€0
Spain,"LM, ST, CM",LM,MID,Borja Valle,27,177cm,72kg,Dinamo Bucureşti,2020,2022,70,70,€1.7M,1700000.0,€5K,5000.0,€2.6M
Serbia,CB,CB,DEF,N. Maraš,24,189cm,79kg,UD Almería,2020,2024,70,78,€3.3M,3300000.0,€5K,5000.0,€4.3M
France,ST,ST,ATT,N. Roux,32,182cm,78kg,Nîmes Olympique,2020,2021,70,70,€1.3M,1300000.0,€14K,14000.0,€2.8M
Brazil,ST,ST,ATT,Leonardo,23,180cm,77kg,Urawa Red Diamonds,2020,2023,70,75,€2.4M,2400000.0,€7K,7000.0,€3.2M
Switzerland,RM,RM,MID,M. Tosetti,28,176cm,68kg,FC Sion,2020,2024,70,70,€1.6M,1600000.0,€18K,18000.0,€2.6M
Bolivia,"RB, RWB, RM",RB,DEF,D. Bejarano,28,174cm,70kg,Club Bolívar,2018,2020,70,70,€1.4M,1400000.0,€700,700.0,€3.2M
Turkey,"CDM, CM",CB,DEF,M. Çağıran,27,181cm,82kg,Atiker Konyaspor,2020,2022,70,70,€1.5M,1500000.0,€10K,10000.0,€3.2M
England,CB,CB,DEF,C. Davies,35,188cm,76kg,Derby County,2017,2021,70,70,€425K,425000.0,€10K,10000.0,€1M
Senegal,"ST, LW, RW",ST,ATT,I. Niane,21,187cm,73kg,FC Metz,2017,2024,70,81,€3.6M,3600000.0,€9K,9000.0,€6.8M
Japan,"CAM, CF, RM",CAM,MID,K. Miyoshi,23,167cm,64kg,Royal Antwerp FC,2020,2023,70,76,€2.5M,2500000.0,€10K,10000.0,€4.1M
Spain,LB,LB,DEF,Carlos Nieto,24,179cm,74kg,Real Zaragoza,2014,2024,70,75,€2.2M,2200000.0,€5K,5000.0,€3.5M
Switzerland,"LB, CB, LWB",LB,DEF,F. Moubandje,30,180cm,74kg,Alanyaspor,2019,2022,70,70,€1.4M,1400000.0,€8K,8000.0,€2.8M
United States,CB,CB,DEF,S. Birnbaum,29,185cm,82kg,DC United,2014,2022,70,71,€1.5M,1500000.0,€5K,5000.0,€2.7M
Korea Republic,"CM, CDM",CM,MID,Son Jun Ho,28,178cm,62kg,Jeonbuk Hyundai Motors,2018,2025,70,70,€1.6M,1600000.0,€7K,7000.0,€2.3M
Romania,"LW, CAM",RM,MID,A. Păun,25,177cm,73kg,CFR Cluj,2013,2024,70,73,€2.1M,2100000.0,€10K,10000.0,€3.2M
Australia,"ST, CF",CF,ATT,A. Taggart,27,180cm,73kg,Suwon Samsung Bluewings,2019,2024,70,70,€1.7M,1700000.0,€4K,4000.0,€2.4M
Spain,"CDM, CM",CDM,MID,José Mari,32,180cm,69kg,Cádiz CF,2016,2022,70,70,€1.1M,1100000.0,€14K,14000.0,€2.6M
Peru,"CAM, LM",RW,ATT,P. Hurtado,29,176cm,72kg,Atiker Konyaspor,2018,2021,70,70,€1.6M,1600000.0,€11K,11000.0,€3.4M
Spain,"CM, RM",CDM,MID,Raúl Guti,23,177cm,74kg,Elche CF,2020,2024,70,78,€3.5M,3500000.0,€10K,10000.0,€6.2M
Japan,"CF, ST, RM",RW,ATT,S. Doi,28,172cm,63kg,Kashima Antlers,2011,2021,70,70,€1.6M,1600000.0,€7K,7000.0,€2.3M
England,LB,LB,DEF,C. Okoroji,23,178cm,73kg,SC Paderborn 07,Jun ,Loan,70,77,€3M,3000000.0,€11K,11000.0,€0
Czech Republic,"CM, CAM",CAM,MID,J. Morávek,30,180cm,77kg,FC Augsburg,2012,2022,70,70,€1.5M,1500000.0,€15K,15000.0,€2.9M
Mexico,GK,GK,GK,L. Cárdenas,26,183cm,84kg,Monterrey,2019,2024,70,74,€1.7M,1700000.0,€16K,16000.0,€3M
France,ST,ST,ATT,M. Le Bihan,30,184cm,80kg,AJ Auxerre,2019,2021,70,70,€1.6M,1600000.0,€5K,5000.0,€3.1M
Ukraine,"CDM, CM, LB",CDM,MID,Y. Makarenko,29,184cm,84kg,KV Kortrijk,Jun ,Loan,70,70,€1.4M,1400000.0,€12K,12000.0,€0
Albania,CB,CB,DEF,M. Mavraj,34,189cm,84kg,SpVgg Greuther Fürth,2019,2021,70,70,€525K,525000.0,€6K,6000.0,€1M
Angola,"CAM, LM",RM,MID,Fredy,30,170cm,68kg,Antalyaspor,2019,2022,70,70,€1.5M,1500000.0,€10K,10000.0,€3.4M
Brazil,GK,GK,GK,Jordi,26,192cm,81kg,FC Paços de Ferreira,2020,2022,70,74,€1.7M,1700000.0,€5K,5000.0,€3.7M
Germany,"RM, RB",RM,MID,K. Narey,25,180cm,75kg,Hamburger SV,2018,2022,70,71,€1.9M,1900000.0,€8K,8000.0,€3.5M
Scotland,CB,CB,DEF,S. McKenna,23,189cm,80kg,Nottingham Forest,2020,2024,70,79,€3.3M,3300000.0,€20K,20000.0,€5.3M
Honduras,ST,ST,ATT,A. Lozano,27,185cm,74kg,Cádiz CF,2020,2023,70,71,€1.9M,1900000.0,€17K,17000.0,€4.8M
Montenegro,"RW, LW",RM,MID,A. Boljević,24,183cm,79kg,Standard de Liège,2019,2023,70,74,€2.3M,2300000.0,€9K,9000.0,€3.6M
United States,"RM, RB, LB",RWB,DEF,S. Moore,23,180cm,74kg,CD Tenerife,2019,2024,70,75,€2.4M,2400000.0,€6K,6000.0,€4M
England,CB,CB,DEF,J. Elliott,24,196cm,82kg,Philadelphia Union,2017,2021,70,74,€2.1M,2100000.0,€4K,4000.0,€3.3M
Switzerland,"CB, RB, LB",CB,DEF,G. Berardi,31,178cm,72kg,Leeds United,2014,2023,70,70,€1.1M,1100000.0,€41K,41000.0,€2.6M
Brazil,ST,ST,ATT,Thiago Santana,27,184cm,79kg,Santa Clara,2017,2022,70,70,€1.7M,1700000.0,€4K,4000.0,€4M
England,"CB, RB",CB,DEF,T. Adarabioyo,22,193cm,78kg,Fulham,2020,2023,70,81,€3.3M,3300000.0,€35K,35000.0,€5.9M
France,ST,ST,ATT,G. Courtet,31,180cm,76kg,AC Ajaccio,2020,2023,70,70,€1.3M,1300000.0,€5K,5000.0,€2.8M
Argentina,ST,ST,ATT,C. Riaño,31,177cm,75kg,Central Córdoba,2020,2021,70,70,€1.3M,1300000.0,€8K,8000.0,€2.3M
Belgium,ST,ST,ATT,A. Leya Iseka,22,183cm,82kg,Toulouse Football Club,2018,2022,70,76,€2.6M,2600000.0,€5K,5000.0,€5M
Colombia,RB,RB,DEF,C. Arrieta,24,172cm,69kg,América de Cali,2020,2022,70,76,€2.4M,2400000.0,€1K,1000.0,€3.5M
Benin,GK,GK,GK,S. Allagbé,26,187cm,71kg,Dijon FCO,2020,2024,70,74,€1.7M,1700000.0,€7K,7000.0,€3.5M
Germany,LB,LB,DEF,L. Schmitz,31,184cm,80kg,VVV-Venlo,2020,2022,70,70,€1.2M,1200000.0,€5K,5000.0,€1.9M
Spain,"RM, LM",RM,MID,Carmona,32,177cm,71kg,Real Sporting de Gijón,2012,2021,70,70,€1.3M,1300000.0,€6K,6000.0,€2.2M
DR Congo,"LW, LM, CAM",LW,ATT,N. Kebano,28,170cm,65kg,Fulham,2016,2022,70,70,€1.6M,1600000.0,€50K,50000.0,€3.4M
Hungary,"RB, RWB, CB",RWB,DEF,B. Bese,26,188cm,84kg,Oud-Heverlee Leuven,2020,2022,70,72,€1.8M,1800000.0,€8K,8000.0,€2.9M
Luxembourg,RB,RB,DEF,L. Jans,27,178cm,76kg,Standard de Liège,2020,2021,70,70,€1.5M,1500000.0,€9K,9000.0,€2.4M
Brazil,"CM, RW, LW",CM,MID,Jonatan Lucca,26,184cm,82kg,Farense,2020,2022,70,73,€2.1M,2100000.0,€5K,5000.0,€4.7M
Ghana,ST,ST,ATT,K. Wriedt,25,188cm,82kg,Willem II,2020,2023,70,73,€2.1M,2100000.0,€7K,7000.0,€3.6M
Spain,"CDM, CM",CDM,MID,Aguza,27,176cm,71kg,FC Cartagena,Jun ,Loan,70,71,€1.6M,1600000.0,€5K,5000.0,€0
France,"CB, LB",CB,DEF,Y. Barbet,27,187cm,81kg,Queens Park Rangers,2019,2022,70,72,€1.7M,1700000.0,€6K,6000.0,€3.7M
Argentina,ST,ST,ATT,A. Gaich,21,190cm,79kg,PFC CSKA Moscow,2020,2025,70,83,€3.9M,3900000.0,€18K,18000.0,€7.8M
England,ST,ST,ATT,J. Hugill,28,183cm,85kg,Norwich City,2020,2023,70,70,€1.6M,1600000.0,€8K,8000.0,€3.4M
Kosovo,"LM, ST, LB",LM,MID,B. Kololli,28,184cm,82kg,FC Zürich,2018,2021,70,70,€1.6M,1600000.0,€10K,10000.0,€2.6M
Canada,"CM, LM, CDM",CAM,MID,J. Osorio,28,175cm,73kg,Toronto FC,2013,2020,70,70,€1.6M,1600000.0,€5K,5000.0,€2.7M
Peru,"CAM, LM, CF",CAM,MID,C. Benavente,26,172cm,68kg,Royal Antwerp FC,2019,2022,70,73,€2.1M,2100000.0,€12K,12000.0,€3.5M
Italy,RB,RB,DEF,R. Fiamozzi,27,178cm,76kg,Empoli,2018,2021,70,70,€1.5M,1500000.0,€3K,3000.0,€2.5M
Switzerland,CAM,CAM,MID,S. Campo,24,177cm,70kg,FC Basel 1893,2017,2022,70,74,€2.3M,2300000.0,€9K,9000.0,€3.6M
Senegal,CB,CB,DEF,O. Ba,24,192cm,84kg,Olympiacos CFP,2019,2023,70,78,€3.3M,3300000.0,€600,600.0,€5.5M
Wales,"LM, ST, RM",RM,MID,R. Matondo,19,175cm,66kg,FC Schalke 04,2019,2023,70,85,€3.8M,3800000.0,€8K,8000.0,€8.8M
Peru,GK,GK,GK,M. Sotillo,35,182cm,78kg,Deportivo Binacional,2018,2020,70,70,€180K,180000.0,€500,500.0,€1M
Panama,ST,ST,ATT,G. Torres,31,180cm,78kg,Independiente del Valle,2019,2022,70,70,€1.3M,1300000.0,€600,600.0,€3.5M
Turkey,"ST, CAM",CF,ATT,M. Demir,28,180cm,69kg,Gazişehir Gaziantep F.K.,May ,Loan,70,70,€1.6M,1600000.0,€22K,22000.0,€0
Turkey,"CDM, CM",CB,DEF,C. Gülselam,32,192cm,88kg,Alanyaspor,2018,2023,70,70,€1.1M,1100000.0,€8K,8000.0,€2.4M
Norway,ST,ST,ATT,A. Søderlund,32,187cm,86kg,BK Häcken,2020,2021,70,70,€1.3M,1300000.0,€4K,4000.0,€1.8M
England,"CAM, CM",CAM,MID,C. Gallagher,20,182cm,74kg,West Bromwich Albion,Jun ,Loan,70,83,€3.8M,3800000.0,€29K,29000.0,€0
Brazil,CB,CB,DEF,Milton Menceiros,28,182cm,84kg,Ceará Sporting Club,2019,2023,70,70,€1.4M,1400000.0,€8K,8000.0,€3M
England,CB,CB,DEF,D. Batth,29,191cm,90kg,Stoke City,2019,2022,70,70,€1.3M,1300000.0,€15K,15000.0,€2.9M
Spain,"CDM, CM",CDM,MID,Cris Salvador,25,183cm,80kg,Real Sporting de Gijón,2016,2021,70,76,€2.2M,2200000.0,€6K,6000.0,€4M
Mexico,CM,CDM,MID,J. Vigón,28,175cm,70kg,U.N.A.M.,2019,2022,70,70,€1.6M,1600000.0,€9K,9000.0,€3.1M
Japan,CB,CDM,MID,A. Fukumori,27,183cm,75kg,Hokkaido Consadole Sapporo,2017,2022,70,70,€1.5M,1500000.0,€4K,4000.0,€2M
Paraguay,CB,CB,DEF,J. Leguizamón,28,178cm,80kg,Olimpia Asunción,2019,2023,70,71,€1.5M,1500000.0,€750,750.0,€3.9M
Germany,GK,GK,GK,F. Giefer,30,196cm,93kg,FC Würzburger Kickers,2020,2022,70,70,€1.1M,1100000.0,€8K,8000.0,€1.9M
Czech Republic,CB,CB,DEF,D. Zima,19,190cm,80kg,SK Slavia Praha,2020,2024,70,78,€3.2M,3200000.0,€500,500.0,€5.5M
Northern Ireland,"LM, LW",RM,MID,J. Jones,25,174cm,61kg,Rangers FC,2019,2023,70,73,€2.1M,2100000.0,€26K,26000.0,€4.1M
Netherlands,LB,CDM,MID,C. Verdonk,23,172cm,67kg,Famalicão,2020,2024,70,75,€2.2M,2200000.0,€6K,6000.0,€4.5M
Gabon,"LB, RB",LB,DEF,L. Palun,31,179cm,77kg,En Avant de Guingamp,2019,2021,70,70,€1.2M,1200000.0,€5K,5000.0,€2.3M
Republic of Ireland,"LM, RM, CM",LM,MID,C. O'Dowda,25,180cm,75kg,Bristol City,2016,2022,70,73,€2.1M,2100000.0,€22K,22000.0,€4.3M
Portugal,LB,LB,DEF,Rúben Ferreira,30,183cm,59kg,Clube Sport Marítimo,2018,2024,70,70,€1.4M,1400000.0,€6K,6000.0,€2.9M
France,CB,CB,DEF,J. Giraudon,28,184cm,66kg,ESTAC Troyes,2016,2022,70,72,€1.6M,1600000.0,€5K,5000.0,€3.4M
Italy,"ST, CAM, LW",ST,ATT,F. Forestieri,30,172cm,67kg,Udinese,2020,2022,70,70,€1.6M,1600000.0,€11K,11000.0,€3.1M
Denmark,"CM, CDM",CM,MID,J. Andersen,27,178cm,75kg,Hammarby IF,2017,2023,70,71,€1.8M,1800000.0,€4K,4000.0,€2.7M
Spain,"CDM, CM, CB",CDM,MID,Luismi,28,180cm,73kg,Elche CF,2020,2022,70,71,€1.5M,1500000.0,€11K,11000.0,€4.1M
Colombia,"CM, CDM",CDM,MID,K. Balanta,23,181cm,73kg,Club Tijuana,2020,2023,70,77,€3.2M,3200000.0,€11K,11000.0,€4.8M
Portugal,ST,ST,ATT,Rui Fonte,30,181cm,73kg,SC Braga,2019,2022,70,70,€1.6M,1600000.0,€9K,9000.0,€3.4M
Slovenia,"CDM, CM",CDM,MID,L. Štulac,25,175cm,70kg,Empoli,2019,2023,70,75,€2.1M,2100000.0,€2K,2000.0,€3.4M
DR Congo,"CM, CDM, LB",CAM,MID,S. Moutoussamy,23,176cm,72kg,Fortuna Sittard,Jun ,Loan,70,75,€2.4M,2400000.0,€12K,12000.0,€0
Spain,GK,GK,GK,Dani Martín,21,187cm,77kg,Real Betis,2019,2024,70,80,€3.1M,3100000.0,€6K,6000.0,€5.3M
France,GK,GK,GK,I. Meslier,20,196cm,74kg,Leeds United,2020,2023,70,82,€3.4M,3400000.0,€22K,22000.0,€5.7M
England,CB,CB,DEF,S. Caulker,28,191cm,77kg,Alanyaspor,2019,2021,70,72,€1.6M,1600000.0,€8K,8000.0,€3.7M
Switzerland,RB,RB,DEF,I. Martić,29,183cm,75kg,FC Sion,2020,2023,70,70,€1.4M,1400000.0,€16K,16000.0,€2.2M
Spain,RB,RB,DEF,Iván Rodríguez,24,180cm,70kg,SD Ponferradina,2020,2023,70,77,€3M,3000000.0,€5K,5000.0,€3.9M
Brazil,CM,CAM,MID,Matheus Nunes,21,183cm,74kg,Sporting CP,2019,2024,70,80,€3.6M,3600000.0,€6K,6000.0,€6.2M
Argentina,"CAM, RM, ST",CAM,MID,M. Lovera,21,170cm,65kg,Olympiacos CFP,2019,2024,70,79,€3.6M,3600000.0,€600,600.0,€6.4M
England,GK,GK,GK,D. Bentley,26,188cm,72kg,Bristol City,2019,2022,70,74,€1.7M,1700000.0,€17K,17000.0,€3.4M
Italy,"ST, CF",RW,ATT,M. Sau,32,169cm,65kg,Benevento,2019,2021,70,70,€1.3M,1300000.0,€11K,11000.0,€2.5M
Wales,"CAM, CM, ST",ST,ATT,T. Roberts,21,180cm,75kg,Leeds United,2018,2022,70,80,€3.6M,3600000.0,€33K,33000.0,€6.4M
Spain,"RB, RM, LM",RB,DEF,Alex Pozo,21,173cm,62kg,SD Eibar,Jun ,Loan,70,81,€3.4M,3400000.0,€9K,9000.0,€0
England,"LWB, CM, LB",LWB,DEF,T. Rowe,31,180cm,81kg,Bristol City,2019,2021,70,70,€1.2M,1200000.0,€21K,21000.0,€2.5M
Italy,"RM, ST, RW",RM,MID,M. Mustacchio,31,180cm,78kg,Crotone,2019,2021,70,70,€1.3M,1300000.0,€8K,8000.0,€2.9M
Argentina,CB,CB,DEF,P. Alvarado,34,181cm,80kg,Independiente del Valle,2018,2021,70,70,€525K,525000.0,€500,500.0,€1.4M
Paraguay,ST,ST,ATT,R. Bobadilla,33,182cm,87kg,Club Guaraní,2020,2022,70,70,€1M,1000000.0,€550,550.0,€2.4M
Switzerland,"RWB, RM, LWB",RWB,DEF,N. Lavanchy,26,174cm,73kg,FC Lugano,2019,2021,70,71,€1.7M,1700000.0,€5K,5000.0,€2.7M
Sweden,"LM, LW, CAM",CAM,MID,K. Peterson,25,185cm,76kg,Fortuna Düsseldorf,2020,2023,70,73,€2.1M,2100000.0,€14K,14000.0,€3.7M
Peru,CB,CB,DEF,M. Araujo,25,180cm,71kg,FC Emmen,2019,2021,70,75,€2.1M,2100000.0,€4K,4000.0,€3.2M
Mexico,"CM, CDM",CDM,MID,J. Vázquez,32,166cm,64kg,Guadalajara,2020,2021,70,70,€1.3M,1300000.0,€24K,24000.0,€2.2M
United States,"CDM, CM",CM,MID,J. Yueill,23,178cm,71kg,San Jose Earthquakes,2017,2020,70,78,€3.3M,3300000.0,€4K,4000.0,€4M
Turkey,GK,GK,GK,G. Güvenç,28,187cm,85kg,Gazişehir Gaziantep F.K.,2019,2021,70,72,€1.4M,1400000.0,€7K,7000.0,€3.1M
Argentina,"LW, LM",LM,MID,G. Togni,22,180cm,76kg,Independiente,2017,2021,70,79,€3.6M,3600000.0,€10K,10000.0,€4.6M
Germany,"LB, CB, LM",LB,DEF,J. Horn,23,186cm,77kg,1. FC Köln,2017,2022,70,78,€3.4M,3400000.0,€12K,12000.0,€4.6M
Ecuador,RB,RB,DEF,P. Perlaza,29,181cm,83kg,LDU Quito,2020,2023,70,70,€1.4M,1400000.0,€550,550.0,€3.3M
Comoros,"CM, CAM",CM,MID,Y. M'Changama,29,175cm,70kg,En Avant de Guingamp,2019,2022,70,70,€1.6M,1600000.0,€6K,6000.0,€3.1M
Germany,"CM, CDM",CDM,MID,J. Gondorf,32,175cm,74kg,Karlsruher SC,2020,2022,70,70,€1.3M,1300000.0,€8K,8000.0,€2M
England,"ST, LW",ST,ATT,A. Fletcher,24,188cm,78kg,Middlesbrough,2017,2021,70,75,€2.4M,2400000.0,€10K,10000.0,€4.7M
Portugal,CB,CB,DEF,Rúben Fernandes,34,185cm,78kg,Gil Vicente FC,2019,2021,70,70,€525K,525000.0,€6K,6000.0,€1.3M
Spain,ST,ST,ATT,Alex Alegría,27,191cm,84kg,RCD Mallorca,2019,2024,70,71,€1.9M,1900000.0,€6K,6000.0,€3.5M
France,ST,ST,ATT,U. Bozok,23,178cm,75kg,FC Lorient,2019,2022,70,75,€2.4M,2400000.0,€15K,15000.0,€5M
Romania,CB,CB,DEF,A. Burcă,27,187cm,82kg,CFR Cluj,2019,2022,70,73,€1.8M,1800000.0,€8K,8000.0,€2.8M
France,LB,LWB,DEF,P. Polomat,26,183cm,78kg,Gençlerbirliği SK,2019,2021,70,72,€1.8M,1800000.0,€10K,10000.0,€3.9M
Germany,RM,RM,MID,F. Kaufmann,27,181cm,72kg,Eintracht Braunschweig,2020,2022,70,70,€1.7M,1700000.0,€10K,10000.0,€2.9M
Mexico,LB,LB,DEF,C. Calderón,23,176cm,69kg,Guadalajara,2020,2022,70,76,€2.4M,2400000.0,€19K,19000.0,€4.2M
Republic of Ireland,ST,ST,ATT,J. Collins,29,188cm,86kg,Luton Town,2017,2021,70,70,€1.6M,1600000.0,€10K,10000.0,€3.3M
Mali,"LWB, LB",LWB,DEF,M. Haïdara,27,179cm,76kg,Racing Club de Lens,2018,2021,70,71,€1.7M,1700000.0,€19K,19000.0,€3.7M
Germany,"LWB, LM, RB",LWB,DEF,C. Rizzuto,28,170cm,72kg,FC Erzgebirge Aue,2015,2021,70,70,€1.4M,1400000.0,€6K,6000.0,€2.3M
Korea Republic,"CM, LW, ST",CAM,MID,Yeom Ki Hun,37,182cm,80kg,Suwon Samsung Bluewings,2010,2020,70,70,€500K,500000.0,€3K,3000.0,€719K
Spain,CB,CB,DEF,Fontàs,30,185cm,86kg,Sporting Kansas City,2018,2022,70,70,€1.3M,1300000.0,€5K,5000.0,€2.1M
Russia,"CM, LM, LB",CM,MID,E. Prib,30,180cm,77kg,Fortuna Düsseldorf,2020,2022,70,70,€1.5M,1500000.0,€15K,15000.0,€2.6M
Ukraine,LB,LWB,DEF,V. Korniienko,21,175cm,70kg,Shakhtar Donetsk,2016,2024,70,79,€3.4M,3400000.0,€500,500.0,€5.8M
Denmark,CB,CB,DEF,J. Okore,27,183cm,80kg,Aalborg BK,2017,2021,70,71,€1.6M,1600000.0,€8K,8000.0,€2.4M
South Africa,"CAM, LM",CAM,MID,K. Dolly,27,170cm,70kg,Montpellier HSC,2017,2021,70,71,€1.8M,1800000.0,€17K,17000.0,€4.2M
Uruguay,CB,CB,DEF,R. García,31,183cm,82kg,Club Atlético Colón,2020,2022,70,70,€1.1M,1100000.0,€7K,7000.0,€2M
United States,"LM, CAM",CAM,MID,G. Reyna,17,185cm,79kg,Borussia Dortmund,2019,2021,70,87,€4M,4000000.0,€3K,3000.0,€8.1M
England,"CM, CDM",CM,MID,A. Mowatt,25,177cm,71kg,Barnsley,2017,2021,70,75,€2.3M,2300000.0,€8K,8000.0,€4.4M
Spain,GK,GK,GK,Juan Soriano,22,185cm,83kg,Málaga CF,Jun ,Loan,70,77,€2.8M,2800000.0,€9K,9000.0,€0
Germany,GK,GK,GK,R. Himmelmann,31,187cm,80kg,FC St. Pauli,2012,2021,70,70,€850K,850000.0,€8K,8000.0,€1.7M
DR Congo,ST,ST,ATT,B. Assombalonga,27,178cm,78kg,Middlesbrough,2017,2021,70,71,€1.9M,1900000.0,€11K,11000.0,€4.1M
Croatia,CB,CB,DEF,I. Runje,29,192cm,87kg,Jagiellonia Białystok,2016,2021,70,70,€1.3M,1300000.0,€6K,6000.0,€2M
Colombia,"CAM, CM",CAM,MID,Y. Cabrera,29,168cm,60kg,América de Cali,2018,2021,70,70,€1.6M,1600000.0,€2K,2000.0,€2.4M
Bosnia Herzegovina,"CM, CAM",CM,MID,A. Gojak,23,184cm,78kg,Torino,2015,2022,70,76,€2.5M,2500000.0,€19K,19000.0,€4.6M
France,GK,GK,GK,M. Gorgelin,29,187cm,83kg,Le Havre AC,2019,2022,70,70,€1.1M,1100000.0,€5K,5000.0,€2.3M
Brazil,"ST, CF",ST,ATT,Douglas Vieira,32,189cm,82kg,Sanfrecce Hiroshima,2019,2021,70,70,€1.3M,1300000.0,€7K,7000.0,€1.8M
France,ST,ST,ATT,K. Fortuné,30,182cm,80kg,AJ Auxerre,2020,2022,70,70,€1.6M,1600000.0,€5K,5000.0,€3.1M
Germany,"CDM, CM",CDM,MID,C. Moritz,30,186cm,80kg,SSV Jahn Regensburg,2020,2022,70,70,€1.3M,1300000.0,€8K,8000.0,€2.3M
DR Congo,"RM, RW, ST",RM,MID,E. Kachunga,28,178cm,74kg,Sheffield Wednesday,2020,2022,70,70,€1.6M,1600000.0,€12K,12000.0,€3.4M
Brazil,"CDM, CM, RM",CDM,MID,Ansel Barnisco,20,184cm,82kg,Fortaleza,2019,2023,70,70,€1.6M,1600000.0,€5K,5000.0,€3.4M
Italy,GK,GK,GK,G. Pegolo,39,183cm,76kg,Sassuolo,2013,2021,70,70,€180K,180000.0,€7K,7000.0,€306K
